gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,cik,costat,gind,gsector,gsubind,naics,sic,spcindcd,spcseccd,Mkt cap 31 Dec 2024
260893,12/31/24,2024,INDL,C,D,STD,BLKB,BLACKBAUD INC,USD,1280058,A,451030,45,45103010,519290,7370,,,3.74907456
7437,12/31/24,2024,INDL,C,D,STD,ALE,ALLETE INC,USD,66756,A,551010,55,55101010,221111,4931,705,700,3.7466712
23247,12/31/24,2024,INDL,C,D,STD,PJT,PJT PARTNERS INC,USD,1626115,A,402030,40,40203020,523,6200,,,3.74041262
28194,12/31/24,2024,INDL,C,D,STD,AVNT,AVIENT CORP,USD,1122976,A,151010,15,15101050,325130,2810,167,970,3.73313304
170765,12/31/24,2024,INDL,C,D,STD,TGLS,TECNOGLASS INC,USD,1534675,A,201020,20,20102010,332321,3442,,,3.7276434
142337,12/31/24,2024,INDL,C,D,STD,NOG,NORTHERN OIL & GAS INC,USD,1104485,A,101020,10,10102020,211120,1311,,,3.709497
4926,11/30/24,2024,INDL,C,D,STD,FUL,FULLER (H. B.) CO,USD,39368,A,151010,15,15101050,325520,2891,167,970,3.68622996
38329,12/31/24,2024,INDL,C,D,STD,ALKT,ALKAMI TECHNOLOGY INC,USD,1529274,A,451030,45,45103010,518210,7370,,,3.68622996
36463,12/31/24,2024,INDL,C,D,STD,ALIT,ALIGHT INC,USD,1809104,A,202020,20,20202010,518210,7374,,,3.68494152
25749,12/31/24,2024,INDL,C,D,STD,ASGN,ASGN INC,USD,890564,A,451020,45,45102010,541512,7370,457,978,3.683628
192255,12/31/24,2024,INDL,C,D,STD,ACHC,ACADIA HEALTHCARE CO INC,USD,1520697,A,351020,35,35102020,622210,8060,,,3.68289025
23977,12/31/24,2024,INDL,C,D,STD,APLE,APPLE HOSPITALITY REIT INC,USD,1418121,A,601030,60,60103010,531120,6798,,,3.68284875
17035,12/31/24,2024,INDL,C,D,STD,MCY,MERCURY GENERAL CORP,USD,64996,A,403010,40,40301040,524126,6331,835,800,3.68106408
6867,12/31/24,2024,INDL,C,D,STD,MDU,MDU RESOURCES GROUP INC,USD,67716,A,551020,55,55102010,221210,4932,710,700,3.67406176
39942,1/31/25,2024,INDL,C,D,STD,BRZE,BRAZE INC,USD,1676238,A,451030,45,45103010,519290,7370,,,3.66315984
133564,12/31/24,2024,INDL,C,D,STD,CAMT,CAMTEK LTD,USD,1109138,A,453010,45,45301010,333310,3827,230,940,3.6451501
18468,12/31/24,2024,INDL,C,D,STD,PAGP,PLAINS GP HOLDINGS LP,USD,1581990,A,101020,10,10102040,424710,5171,,,3.62942508
148950,12/31/24,2024,INDL,C,D,STD,NPO,ENPRO INC,USD,1164863,A,201060,20,20106020,339991,3050,110,925,3.6200704
12615,12/31/24,2024,INDL,C,D,STD,MHO,M/I HOMES INC,USD,799292,A,252010,25,25201030,236117,1531,305,976,3.61690475
10411,12/31/24,2024,INDL,C,D,STD,TDS,TELEPHONE & DATA SYSTEMS INC,USD,1051512,A,501020,50,50102010,517112,4812,715,974,3.61566
150306,12/31/24,2024,INDL,C,D,STD,TCBI,TEXAS CAPITAL BANCSHARES INC,USD,1077428,A,401010,40,40101015,522110,6020,817,800,3.6137784
35211,12/31/24,2024,INDL,C,D,STD,CLVT,CLARIVATE PLC,USD,1764046,A,202020,20,20202020,518210,7370,,,3.60885232
22638,12/31/24,2024,INDL,C,D,STD,ZI,ZOOMINFO TECHNO INC,USD,1794515,A,502030,50,50203010,518210,7370,,,3.60880819
13312,6/30/24,2024,INDL,C,D,STD,BHP,BHP GROUP LTD,USD,811809,A,151040,15,15104020,212,1000,360,970,3.60653497
39457,12/31/24,2024,INDL,C,D,STD,SRAD,SPORTRADAR GROUP AG,USD,1836470,A,253010,25,25301010,519290,7370,,,3.60314796
175263,12/31/24,2024,INDL,C,D,STD,WU,WESTERN UNION CO,USD,1365135,A,402010,40,40201060,522320,6099,,,3.5806906
39103,12/31/24,2024,INDL,C,D,STD,PAYO,PAYONEER GLBL INC,USD,1845815,A,402010,40,40201060,522320,7389,,,3.58039452
245918,12/31/24,2024,INDL,C,D,STD,IGT,INTL GAME TECHNOLOGY PLC,USD,1619762,A,253010,25,25301010,713290,7990,262,976,3.56732
42856,12/31/24,2024,INDL,C,D,STD,KGS,KODIAK GAS SERVICES INC,USD,1767042,A,101010,10,10101020,213112,1389,,,3.56511228
176766,9/30/24,2024,INDL,C,D,STD,TFSL,TFS FINANCIAL CORP,USD,1381668,A,401010,40,40101015,522180,6035,,,3.52573016
166482,9/30/24,2024,INDL,C,D,STD,MWA,MUELLER WATER PRODUCTS INC,USD,1350593,A,201060,20,20106020,332911,3490,,,3.5219475
24083,12/31/24,2024,INDL,C,D,STD,VERX,VERTEX INC,USD,1806837,A,451030,45,45103010,518210,7370,,,3.51944615
15520,1/31/25,2024,INDL,C,D,STD,SIG,SIGNET JEWELERS LTD,USD,832988,A,255040,25,25504040,458310,5944,449,976,3.51015861
14172,12/31/24,2024,INDL,C,D,STD,FULT,FULTON FINANCIAL CORP,USD,700564,A,401010,40,40101015,522110,6020,817,800,3.509442
66032,12/31/24,2024,INDL,C,D,STD,POWI,POWER INTEGRATIONS INC,USD,833640,A,453010,45,45301020,334413,3674,235,940,3.5085705
24782,12/31/24,2024,INDL,C,D,STD,PRGO,PERRIGO CO PLC,USD,1585364,A,352020,35,35202010,325412,2834,215,978,3.50756388
24825,12/31/24,2024,INDL,C,D,STD,CDP,COPT DEFENSE PROPERTIES,USD,860546,A,601040,60,60104010,531120,6798,850,800,3.48784835
174134,12/31/24,2024,INDL,C,D,STD,PTCT,PTC THERAPEUTICS INC,USD,1070081,A,352010,35,35201010,325414,2836,,,3.47361328
36691,12/31/24,2024,INDL,C,D,STD,IAC,IAC INC,USD,1800227,A,502030,50,50203010,519290,7370,,,3.47186406
36473,12/31/24,2024,INDL,C,D,STD,RNA,AVIDITY BIOSCIENCE INC,USD,1599901,A,352010,35,35201010,325414,2836,,,3.457612
174729,12/31/24,2024,INDL,C,D,STD,TNL,TRAVEL PLUS LEISURE CO,USD,1361658,A,253010,25,25301020,531390,6531,,,3.45103225
21601,12/31/24,2024,INDL,C,D,STD,RYTM,RHYTHM PHARMACEUTICLS,USD,1649904,A,352010,35,35201010,325414,2836,,,3.43918728
23224,9/30/24,2024,INDL,C,D,STD,ESE,ESCO TECHNOLOGIES INC,USD,866706,A,201060,20,20106020,334515,3825,345,925,3.435885788
183640,12/31/24,2024,INDL,C,D,STD,IRDM,IRIDIUM COMMUNICATIONS INC,USD,1418819,A,501010,50,50101010,517410,4899,,,3.43547466
36633,12/31/24,2024,INDL,C,D,STD,EBC,EASTERN BANKSHARES INC,USD,1810546,A,401010,40,40101015,522110,6020,,,3.43121475
38374,12/31/24,2024,INDL,C,D,STD,ACVA,ACV AUCTIONS INC,USD,1637873,A,202010,20,20201070,423110,5010,,,3.4187616
63000,12/31/24,2024,INDL,C,D,STD,RUSHA,RUSH ENTERPRISES INC,USD,1012019,A,201070,20,20107010,441110,5500,449,976,3.41517028
37240,12/31/24,2024,INDL,C,D,STD,MLTX,MOONLAKE IMMUNOTHERAPEUTICS,USD,1821586,A,352010,35,35201010,325414,2836,,,3.4149156
115044,12/31/24,2024,INDL,C,D,STD,AQN,ALGONQUIN POWER & UTIL CORP,USD,1174169,A,551030,55,55103010,2211,4991,850,800,3.4141824
5987,9/30/24,2024,INDL,C,D,STD,GFF,GRIFFON CORP,USD,50725,A,201020,20,20102010,332216,3420,355,925,3.40827394
148390,12/31/24,2024,INDL,C,D,STD,FORM,FORMFACTOR INC,USD,1039399,A,453010,45,45301010,334515,3825,230,940,3.407844
3905,6/30/24,2024,INDL,C,D,STD,ATGE,ADTALEM GLOBAL EDUCATION INC,USD,730464,A,253020,25,25302010,611310,8200,175,976,3.40605735
6932,12/31/24,2024,INDL,C,D,STD,MGEE,MGE ENERGY INC,USD,1161728,A,551010,55,55101010,22111,4931,705,700,3.40210368
19713,12/31/24,2024,INDL,C,D,STD,AUB,ATLANTIC UNION BANKSHRS CRP,USD,883948,A,401010,40,40101015,522110,6020,817,800,3.40052548
184167,12/31/24,2024,INDL,C,D,STD,FIBK,FIRST INTERSTATE BANCSYSTEM,USD,860413,A,401010,40,40101015,522110,6020,,,3.3940891
258869,12/31/24,2024,INDL,C,D,STD,TPH,TRI POINTE HOMES INC,USD,1561680,A,252010,25,25201030,236117,1531,,,3.3935734
148170,12/31/24,2024,INDL,C,D,STD,RIOT,RIOT PLATFORMS INC,USD,1167419,A,451030,45,45103010,513210,7372,147,905,3.39304846
23500,12/31/24,2024,INDL,C,D,STD,CATY,CATHAY GENERAL BANCORP,USD,861842,A,401010,40,40101015,522110,6020,817,800,3.38978439
34414,12/31/24,2024,INDL,C,D,STD,KNTK,KINETIK HOLDINGS INC,USD,1692787,A,101020,10,10102040,486210,4922,,,3.38864934
34053,12/31/24,2024,INDL,C,D,STD,REZI,RESIDEO TECHNOLOGIES,USD,1740332,A,201020,20,20102010,423690,5065,,,3.3877046
1794,9/30/24,2024,INDL,C,D,STD,ASH,ASHLAND INC,USD,1674862,A,151010,15,15101050,3252,2820,382,935,3.3714828
122915,12/31/24,2024,INDL,C,D,STD,ARLP,ALLIANCE RESOURCE PTNRS  -LP,USD,1086600,A,101020,10,10102050,212115,1220,360,970,3.36674998
160541,12/31/24,2024,INDL,C,D,STD,HTGC,HERCULES CAPITAL INC,USD,1280784,A,402030,40,40203010,523910,6797,,,3.36672238
13971,12/31/24,2024,INDL,C,D,STD,MEOH,METHANEX CORP,USD,886977,A,151010,15,15101010,325110,2860,167,970,3.36530678
66731,12/31/24,2024,INDL,C,D,STD,FHI,FEDERATED HERMES INC,USD,1056288,A,402030,40,40203010,523940,6282,823,800,3.36300355
28113,12/31/24,2024,INDL,C,D,STD,CRSP,CRISPR THERAPEUTICS AG,USD,1674416,A,352010,35,35201010,325414,2836,,,3.35882496
285333,12/31/24,2024,INDL,C,D,STD,IFS,INTERCORP FINANCIAL SVCS INC,USD,1615903,A,401010,40,40101010,522110,6020,,,3.35878452
127377,12/31/24,2024,INDL,C,D,STD,BGC,BGC GROUP INC,USD,1094831,A,402030,40,40203020,523150,6211,185,940,3.35460996
65710,12/31/24,2024,INDL,C,D,STD,EPR,EPR PROPERTIES,USD,1045450,A,601080,60,60108010,531120,6798,850,800,3.35336868
50838,12/31/24,2024,INDL,C,D,STD,ECG,EVERUS CONSTRCTION GROUP INC,USD,2015845,A,201030,20,20103010,238,1700,,,3.351409
284453,12/31/24,2024,INDL,C,D,STD,VRNA,VERONA PHARMA PLC,USD,1657312,A,352020,35,35202010,325412,2834,,,3.35138904
137944,12/31/24,2024,INDL,C,D,STD,GGAL,GRUPO FINANCIERO GALICIA SA,USD,1114700,A,401010,40,40101010,522110,6020,810,800,3.3462724
38707,6/30/24,2024,INDL,C,D,STD,PYCR,PAYCOR HCM INC,USD,1839439,A,202020,20,20202010,518210,7370,,,3.33626763
42284,12/31/24,2024,INDL,C,D,STD,CXT,CRANE NXT CO,USD,25445,A,452030,45,45203010,333310,3580,,,3.32890316
14369,12/31/24,2024,INDL,C,D,STD,USM,US CELLULAR CORP,USD,821130,A,501020,50,50102010,517112,4812,462,974,3.32416
3708,12/31/24,2024,INDL,C,D,STD,WEN,WENDY'S CO,USD,30697,A,253010,25,25301040,722511,5812,420,978,3.3226735
35497,12/31/24,2024,INDL,C,D,STD,NVST,ENVISTA HOLDINGS CORP,USD,1757073,A,351010,35,35101010,339114,3843,,,3.31975113
27665,12/31/24,2024,INDL,C,D,STD,FHB,FIRST HAWAIIAN INC,USD,36377,A,401010,40,40101015,522110,6020,,,3.3186417
39961,12/31/24,2024,INDL,C,D,STD,SG,SWEETGREEN INC,USD,1477815,A,253010,25,25301040,722513,5812,,,3.31545284
38125,12/31/24,2024,INDL,C,D,STD,HAYW,HAYWARD HOLDINGS INC,USD,1834622,A,201020,20,20102010,333996,3590,,,3.29384825
11234,8/31/24,2024,INDL,C,D,STD,WDFC,WD-40 CO,USD,105132,A,303010,30,30301010,325998,2890,270,976,3.289284584
28338,12/31/24,2024,INDL,C,D,STD,RIG,TRANSOCEAN LTD,USD,1451505,A,101010,10,10101010,213111,1381,395,935,3.284265
185370,12/31/24,2024,INDL,C,D,STD,WD,WALKER & DUNLOP INC,USD,1497770,A,402010,40,40201050,522292,6162,,,3.28249007
36945,12/31/24,2024,INDL,C,D,STD,FROG,JFROG LTD,USD,1800667,A,451030,45,45103020,513210,7372,,,3.28106783
8001,12/31/24,2024,INDL,C,D,STD,NWE,NORTHWESTERN ENRGY GROUP INC,USD,1993004,A,551030,55,55103010,22111,4931,705,700,3.27784644
100091,12/31/24,2024,INDL,C,D,STD,RTO,RENTOKIL INITIAL PLC,USD,930157,A,202010,20,20201050,561710,7340,459,978,3.26985012
27653,12/31/24,2024,INDL,C,D,STD,YETI,YETI HOLDINGS INC,USD,1670592,A,252020,25,25202010,339920,3949,,,3.26661075
2352,7/31/24,2024,INDL,C,D,STD,BRC,BRADY CORP,USD,746598,A,202010,20,20201010,339950,3990,357,925,3.2659424
26069,12/31/24,2024,INDL,C,D,STD,GPOR,GULFPORT ENERGY CORP,USD,874499,A,101020,10,10102020,2111,1311,380,935,3.2654976
39310,1/31/25,2024,INDL,C,D,STD,VSCO,VICTORIAS SECRET AND CO,USD,1856437,A,255040,25,25504010,458110,5621,,,3.25652324
42033,12/31/24,2024,INDL,C,D,STD,ATMU,ATMUS FILTRATION TECHNLS INC,USD,1921963,A,201060,20,20106010,336390,3714,,,3.25570128
30284,12/31/24,2024,INDL,C,D,STD,LBRT,LIBERTY ENERGY INC,USD,1694028,A,101010,10,10101020,213112,1389,,,3.25034424
43288,12/31/24,2024,INDL,C,D,STD,KVYO,KLAVIYO INC,USD,1835830,A,451030,45,45103010,518210,7370,,,3.24987696
38412,12/31/24,2024,INDL,C,D,STD,DV,DOUBLEVERIFY HOLD INC,USD,1819928,A,451030,45,45103010,513210,7372,,,3.24965965
30298,12/31/24,2024,INDL,C,D,STD,HIW,HIGHWOODS PROPERTIES INC,USD,921082,A,601040,60,60104010,531120,6798,850,800,3.2420916
16790,12/31/24,2024,INDL,C,D,STD,CBU,COMMUNITY FINANCIAL SYST INC,USD,723188,A,401010,40,40101015,522110,6020,817,800,3.2419008
39651,12/31/24,2024,INDL,C,D,STD,SLVM,SYLVAMO CORP,USD,1856485,A,151050,15,15105020,322120,2621,,,3.24045216
26123,12/31/24,2024,INDL,C,D,STD,NVCR,NOVOCURE LIMITED,USD,1645113,A,351010,35,35101010,334510,3845,,,3.22138
29108,12/31/24,2024,INDL,C,D,STD,PTEN,PATTERSON-UTI ENERGY INC,USD,889900,A,101010,10,10101010,213111,1381,395,935,3.22103656
179202,12/31/24,2024,INDL,C,D,STD,SATS,ECHOSTAR CORP,USD,1415404,A,502010,50,50201030,517410,4899,,,3.2172668
32541,12/31/24,2024,INDL,C,D,STD,CARG,CARGURUS INC,USD,1494259,A,502030,50,50203010,519290,7370,,,3.21372954
14311,12/31/24,2024,INDL,C,D,STD,PII,POLARIS INC,USD,931015,A,252020,25,25202010,336999,3790,475,976,3.2134674
15617,12/31/24,2024,INDL,C,D,STD,ING,ING GROEP NV,USD,1039765,A,401010,40,40101010,522110,6020,825,800,3.20448366
30059,1/31/25,2024,INDL,C,D,STD,AEO,AMERN EAGLE OUTFITTERS INC,USD,919012,A,255040,25,25504010,4481,5600,452,976,3.20234034
179060,12/31/24,2024,INDL,C,D,STD,BTG,B2GOLD CORP,USD,1429937,A,151040,15,15104030,212220,1040,,,3.199816
107781,12/31/24,2024,INDL,C,D,STD,HBM,HUDBAY MINERALS INC,USD,1322422,A,151040,15,15104020,212230,1000,,,3.1908654
1410,10/31/24,2024,INDL,C,D,STD,ABM,ABM INDUSTRIES INC,USD,771497,A,202010,20,20201050,561720,7340,459,978,3.18354954
17769,12/31/24,2024,INDL,C,D,STD,HASI,HA SUSTAINABLE INFRA CAP INC,USD,1561894,A,402010,40,40201040,531190,6798,,,3.1788184
5581,9/30/24,2024,INDL,C,D,STD,HP,HELMERICH & PAYNE,USD,46765,A,101010,10,10101010,213111,1381,395,935,3.1621351
35627,6/30/24,2024,INDL,C,D,STD,PTON,PELOTON INTERACTIVE INC,USD,1639825,A,252020,25,25202010,518210,7370,,,3.1608666
312009,12/31/24,2024,INDL,C,D,STD,FRO,FRONTLINE PLC,USD,913290,A,101020,10,10102040,483111,4412,,,3.15902037
37428,12/31/24,2024,INDL,C,D,STD,GRND,GRINDR INC,USD,1820144,A,502030,50,50203010,516210,7370,,,3.15075808
24533,12/31/24,2024,INDL,C,D,STD,NHI,NATIONAL HEALTH INVESTORS,USD,877860,A,601050,60,60105010,531120,6798,850,800,3.1477446
2270,12/31/24,2024,INDL,C,D,STD,VAL,VALARIS LIMITED,USD,314808,A,101010,10,10101010,213111,1381,395,935,3.14626032
175955,12/31/24,2024,INDL,C,D,STD,IPGP,IPG PHOTONICS CORP,USD,1111928,A,452030,45,45203020,334413,3674,,,3.14499456
38188,12/31/24,2024,INDL,C,D,STD,DOCN,DIGITALOCEAN HOLDINGS INC,USD,1582961,A,451020,45,45102030,519290,7370,,,3.14404774
191255,12/31/24,2024,INDL,C,D,STD,VAC,MARRIOTT VACATIONS WORLDWIDE,USD,1524358,A,253010,25,25301020,721110,7011,,,3.1350078
17132,12/31/24,2024,INDL,C,D,STD,WSFS,WSFS FINANCIAL CORP,USD,828944,A,401010,40,40101015,522180,6035,840,800,3.12925074
31521,9/30/24,2024,INDL,C,D,STD,SNEX,STONEX GROUP INC,USD,913760,A,402030,40,40203020,523160,6200,822,800,3.1281821
5560,12/31/24,2024,INDL,C,D,STD,HL,HECLA MINING CO,USD,719413,A,151040,15,15104045,212220,1040,265,970,3.12774365
36977,12/31/24,2024,INDL,C,D,STD,SGHC,SUPER GROUP (SGHC) LTD,USD,1878057,A,253010,25,25301010,713,7990,,,3.12391513
162401,12/31/24,2024,INDL,C,D,STD,HUN,HUNTSMAN CORP,USD,1307954,A,151010,15,15101020,3251,2860,,,3.11904576
175307,12/31/24,2024,INDL,C,D,STD,DEI,DOUGLAS EMMETT INC,USD,1364250,A,601040,60,60104010,531120,6798,,,3.1075936
39157,12/31/24,2024,INDL,C,D,STD,AVPT,AVEPOINT INC,USD,1777921,A,451030,45,45103010,518210,7370,,,3.09580661
43589,12/31/24,2024,INDL,C,D,STD,ULS,UL SOLUTIONS INC,USD,1901440,A,202020,20,20202020,541380,8734,,,3.09196144
8692,12/31/24,2024,INDL,C,D,STD,PCH,POTLATCHDELTIC CORP,USD,1338749,A,601080,60,60108040,531190,6798,400,970,3.09144775
186392,12/31/24,2024,INDL,C,D,STD,PRKS,UNITED PARKS & RESORTS INC,USD,1564902,A,253010,25,25301030,713110,7996,,,3.09067476
8199,12/31/24,2024,INDL,C,D,STD,OTTR,OTTER TAIL CORP,USD,1466593,A,551010,55,55101010,22111,4911,705,700,3.08857952
7991,12/31/24,2024,INDL,C,D,STD,TEX,TEREX CORP,USD,97216,A,201060,20,20106010,333923,3530,345,925,3.087496
332179,12/31/24,2024,INDL,C,D,STD,LIF,LIFE360 INC,USD,1581760,A,451030,45,45103010,513210,7372,,,3.08150709
23433,12/31/24,2024,INDL,C,D,STD,BSM,BLACK STONE MINERALS LP,USD,1621434,A,101020,10,10102020,2111,1311,,,3.076147
29382,12/31/24,2024,INDL,C,D,STD,SHOO,MADDEN STEVEN LTD,USD,913241,A,252030,25,25203020,316210,3140,455,976,3.06956132
18947,12/31/24,2024,INDL,C,D,STD,VCYT,VERACYTE INC,USD,1384101,A,352010,35,35201010,325413,2835,,,3.0686436
23432,12/31/24,2024,INDL,C,D,STD,VIRT,VIRTU FINANCIAL INC,USD,1592386,A,402030,40,40203020,523150,6211,,,3.06683872
142814,6/30/24,2024,INDL,C,D,STD,SYNA,SYNAPTICS INC,USD,817720,A,453010,45,45301020,334413,3674,220,925,3.05653968
196159,12/31/24,2024,INDL,C,D,STD,PBF,PBF ENERGY INC,USD,1534504,A,101020,10,10102030,324110,2911,,,3.05651565
19908,12/31/24,2024,INDL,C,D,STD,FIVN,FIVE9 INC,USD,1288847,A,451030,45,45103010,518210,7370,,,3.05645312
141846,12/31/24,2024,INDL,C,D,STD,ACAD,ACADIA PHARMACEUTICALS INC,USD,1070494,A,352010,35,35201010,325414,2836,285,905,3.0525592
26539,12/31/24,2024,INDL,C,D,STD,EGO,ELDORADO GOLD CORP,USD,918608,A,151040,15,15104030,212220,1040,265,970,3.04699683
16821,12/31/24,2024,INDL,C,D,STD,FBP,FIRST BANCORP P R,USD,1057706,A,401010,40,40101015,522110,6020,817,800,3.0463433
143974,12/31/24,2024,INDL,C,D,STD,BFH,BREAD FINANCIAL HOLDINGS INC,USD,1101215,A,402020,40,40202010,522291,6141,453,940,3.0355979
15420,1/31/25,2024,INDL,C,D,STD,AMBA,AMBARELLA INC,USD,1280263,A,453010,45,45301020,334413,3674,,,3.03340348
35957,12/31/24,2024,INDL,C,D,STD,TFPM,TRIPLE FLAG PRECIOUS METALS,USD,1829726,A,151040,15,15104030,212220,1040,,,3.02955232
12825,9/30/24,2024,INDL,C,D,STD,JJSF,J & J SNACK FOODS CORP,USD,785956,A,302020,30,30202030,311812,2050,250,978,3.02162214
11012,12/31/24,2024,INDL,C,D,STD,SXT,SENSIENT TECHNOLOGIES CORP,USD,310142,A,151010,15,15101050,325199,2860,250,978,3.01864486
16113,12/31/24,2024,INDL,C,D,STD,APAM,ARTISAN PARTNERS ASSET MGMT,USD,1517302,A,402030,40,40203010,523940,6282,,,3.01647045
30259,12/31/24,2024,INDL,C,D,STD,PENN,PENN ENTERTAINMENT INC,USD,921738,A,253010,25,25301010,713290,7990,262,976,3.0158112
20791,12/31/24,2024,INDL,C,D,STD,BXMT,BLACKSTONE MORTGAGE TR INC,USD,1061630,A,402040,40,40204010,525990,6798,850,800,3.01173849
50870,12/31/24,2024,INDL,C,D,STD,SNRE,SUNRISE COMMUNICATIONS AG,USD,2021938,A,501010,50,50101020,517111,4813,,,3.00939648
24135,12/31/24,2024,INDL,C,D,STD,ALRM,ALARM.COM HOLDINGS INC,USD,1459200,A,451030,45,45103010,518210,7370,,,3.0052832
32843,12/31/24,2024,INDL,C,D,STD,CAAP,CORPORACION AMERICA AIRPORTS,USD,1717393,A,203050,20,20305010,4881,4581,,,3.00373752
33809,12/31/24,2024,INDL,C,D,STD,CWK,CUSHMAN & WAKEFIELD,USD,1628369,A,602010,60,60201040,531312,6531,,,3.00168996
7526,12/31/24,2024,INDL,C,D,STD,QDEL,QUIDELORTHO CORP,USD,1906324,A,351010,35,35101010,325413,2835,147,905,2.99629935
20019,12/31/24,2024,INDL,C,D,STD,CVBF,CVB FINANCIAL CORP,USD,354647,A,401010,40,40101015,522110,6020,817,800,2.99050598
36967,12/31/24,2024,INDL,C,D,STD,BNL,BROADSTONE NET LEASE INC,USD,1424182,A,601010,60,60101010,531120,6798,,,2.99035542
158354,12/31/24,2024,INDL,C,D,STD,GNW,GENWORTH FINANCIAL INC,USD,1276520,A,403010,40,40301020,524113,6311,,,2.98495368
178310,12/31/24,2024,INDL,C,D,STD,TDC,TERADATA CORP,USD,816761,A,451030,45,45103020,518210,7370,,,2.981055
30612,12/31/24,2024,INDL,C,D,STD,AMED,AMEDISYS INC,USD,896262,A,351020,35,35102015,621610,8082,292,905,2.97373566
21744,12/31/24,2024,INDL,C,D,STD,XENE,XENON PHARMACEUTICALS INC,USD,1582313,A,352010,35,35201010,325414,2836,,,2.9711248
39916,12/31/24,2024,INDL,C,D,STD,BTSG,BRIGHTSPRING HEALTH SVCS INC,USD,1865782,A,351020,35,35102015,621610,8082,,,2.96536578
29955,12/31/24,2024,INDL,C,D,STD,BHC,BAUSCH HEALTH COMPANIES INC,USD,885590,A,352020,35,35202010,325412,2834,285,905,2.96449218
62337,12/31/24,2024,INDL,C,D,STD,IAG,IAMGOLD CORP,USD,1203464,A,151040,15,15104030,212220,1040,265,970,2.947392
4988,12/31/24,2024,INDL,C,D,STD,TGNA,TEGNA INC,USD,39899,A,502010,50,50201020,516120,4833,415,976,2.94692138
19507,12/31/24,2024,INDL,C,D,STD,OUT,OUTFRONT MEDIA INC,USD,1579877,A,601080,60,60108010,531190,6798,,,2.94459164
11300,12/31/24,2024,INDL,C,D,STD,GHC,GRAHAM HOLDINGS CO,USD,104889,A,253020,25,25302010,611691,8200,415,976,2.938370333
9849,12/31/24,2024,INDL,C,D,STD,AWR,AMERICAN STATES WATER CO,USD,1056903,A,551040,55,55104010,221310,4941,725,700,2.93758284
23671,12/31/24,2024,INDL,C,D,STD,NOK,NOKIA OYJ,USD,924613,A,452010,45,45201020,334220,3663,180,940,2.93754629
32775,12/31/24,2024,INDL,C,D,STD,DNLI,DENALI THERAPEUTCS INC,USD,1714899,A,352010,35,35201010,325414,2836,,,2.9314592
11854,12/31/24,2024,INDL,C,D,STD,NMIH,NMI HOLDINGS INC,USD,1547903,A,402010,40,40201050,524126,6351,,,2.90889232
36964,1/31/25,2024,INDL,C,D,STD,ASAN,ASANA INC,USD,1477720,A,451030,45,45103010,518210,7370,,,2.90493424
27394,12/31/24,2024,INDL,C,D,STD,PK,PARK HOTELS & RESORTS,USD,1617406,A,601030,60,60103010,531120,6798,,,2.90411835
11304,12/31/24,2024,INDL,C,D,STD,AVA,AVISTA CORP,USD,104918,A,551030,55,55103010,2211,4931,705,700,2.90047329
27014,9/30/24,2024,INDL,C,D,STD,ATKR,ATKORE INC,USD,1666138,A,201040,20,20104010,335932,3640,,,2.8977178
64302,12/31/24,2024,INDL,C,D,STD,NSP,INSPERITY INC,USD,1000753,A,202020,20,20202010,561320,7363,457,978,2.89755633
38488,12/31/24,2024,INDL,C,D,STD,COMP,COMPASS INC,USD,1563190,A,602010,60,60201040,531210,6531,,,2.8931058
28323,12/31/24,2024,INDL,C,D,STD,AKR,ACADIA REALTY TRUST,USD,899629,A,601070,60,60107010,531120,6798,850,800,2.8908648
